,year,state,month,number
4987,2004,Rio Grande do Sul,Novembro,161
4988,2005,Rio Grande do Sul,Novembro,227
4989,2006,Rio Grande do Sul,Novembro,27
4990,2007,Rio Grande do Sul,Novembro,13
4991,2008,Rio Grande do Sul,Novembro,14
4992,2009,Rio Grande do Sul,Novembro,4
4993,2010,Rio Grande do Sul,Novembro,90
4994,2011,Rio Grande do Sul,Novembro,117
4995,2012,Rio Grande do Sul,Novembro,74
4996,2013,Rio Grande do Sul,Novembro,110
4997,2014,Rio Grande do Sul,Novembro,68
4998,2015,Rio Grande do Sul,Novembro,30
4999,2016,Rio Grande do Sul,Novembro,105
5000,2017,Rio Grande do Sul,Novembro,137
5001,1998,Rio Grande do Sul,Dezembro,605
5002,1999,Rio Grande do Sul,Dezembro,1.11
5003,2000,Rio Grande do Sul,Dezembro,80
5004,2001,Rio Grande do Sul,Dezembro,80
5005,2002,Rio Grande do Sul,Dezembro,45
5006,2003,Rio Grande do Sul,Dezembro,98
5007,2004,Rio Grande do Sul,Dezembro,99
5008,2005,Rio Grande do Sul,Dezembro,35
5009,2006,Rio Grande do Sul,Dezembro,15
5010,2007,Rio Grande do Sul,Dezembro,25
5011,2008,Rio Grande do Sul,Dezembro,32
5012,2009,Rio Grande do Sul,Dezembro,15
5013,2010,Rio Grande do Sul,Dezembro,103
5014,2011,Rio Grande do Sul,Dezembro,69
5015,2012,Rio Grande do Sul,Dezembro,38
5016,2013,Rio Grande do Sul,Dezembro,62
5017,2014,Rio Grande do Sul,Dezembro,31
5018,2015,Rio Grande do Sul,Dezembro,42
5019,2016,Rio Grande do Sul,Dezembro,79
5020,1998,Rondônia,Janeiro,0
5021,1999,Rondônia,Janeiro,1
5022,2000,Rondônia,Janeiro,0
5023,2001,Rondônia,Janeiro,0
5024,2002,Rondônia,Janeiro,6
5025,2003,Rondônia,Janeiro,62
5026,2004,Rondônia,Janeiro,30
5027,2005,Rondônia,Janeiro,99
5028,2006,Rondônia,Janeiro,16
5029,2007,Rondônia,Janeiro,33
5030,2008,Rondônia,Janeiro,4
5031,2009,Rondônia,Janeiro,17
5032,2010,Rondônia,Janeiro,18
5033,2011,Rondônia,Janeiro,1
5034,2012,Rondônia,Janeiro,2
5035,2013,Rondônia,Janeiro,7
5036,2014,Rondônia,Janeiro,12
5037,2015,Rondônia,Janeiro,30
5038,2016,Rondônia,Janeiro,93
5039,2017,Rondônia,Janeiro,44
5040,1998,Rondônia,Fevereiro,0
5041,1999,Rondônia,Fevereiro,1
5042,2000,Rondônia,Fevereiro,6
5043,2001,Rondônia,Fevereiro,2
5044,2002,Rondônia,Fevereiro,8
5045,2003,Rondônia,Fevereiro,10
5046,2004,Rondônia,Fevereiro,12
5047,2005,Rondônia,Fevereiro,42
5048,2006,Rondônia,Fevereiro,17
5049,2007,Rondônia,Fevereiro,8
5050,2008,Rondônia,Fevereiro,7
5051,2009,Rondônia,Fevereiro,1
5052,2010,Rondônia,Fevereiro,9
5053,2011,Rondônia,Fevereiro,2
5054,2012,Rondônia,Fevereiro,9
5055,2013,Rondônia,Fevereiro,8
5056,2014,Rondônia,Fevereiro,5
5057,2015,Rondônia,Fevereiro,22
5058,2016,Rondônia,Fevereiro,88
5059,2017,Rondônia,Fevereiro,10
5060,1998,Rondônia,Março,0
5061,1999,Rondônia,Março,8
5062,2000,Rondônia,Março,9
5063,2001,Rondônia,Março,0
5064,2002,Rondônia,Março,1
5065,2003,Rondônia,Março,13
5066,2004,Rondônia,Março,20
5067,2005,Rondônia,Março,17
5068,2006,Rondônia,Março,15
5069,2007,Rondônia,Março,20
5070,2008,Rondônia,Março,2
5071,2009,Rondônia,Março,12
5072,2010,Rondônia,Março,11
5073,2011,Rondônia,Março,6
5074,2012,Rondônia,Março,6
5075,2013,Rondônia,Março,23
5076,2014,Rondônia,Março,13
5077,2015,Rondônia,Março,15
5078,2016,Rondônia,Março,25
5079,2017,Rondônia,Março,21
5080,1998,Rondônia,Abril,0
5081,1999,Rondônia,Abril,3
5082,2000,Rondônia,Abril,0
5083,2001,Rondônia,Abril,0
5084,2002,Rondônia,Abril,3
5085,2003,Rondônia,Abril,10
5086,2004,Rondônia,Abril,14
5087,2005,Rondônia,Abril,7
5088,2006,Rondônia,Abril,0
5089,2007,Rondônia,Abril,0
5090,2008,Rondônia,Abril,8
5091,2009,Rondônia,Abril,3
5092,2010,Rondônia,Abril,19
5093,2011,Rondônia,Abril,8
5094,2012,Rondônia,Abril,12
5095,2013,Rondônia,Abril,9
5096,2014,Rondônia,Abril,15
5097,2015,Rondônia,Abril,15
5098,2016,Rondônia,Abril,59
5099,2017,Rondônia,Abril,19
5100,1998,Rondônia,Maio,0
5101,1999,Rondônia,Maio,3
5102,2000,Rondônia,Maio,13
5103,2001,Rondônia,Maio,5
5104,2002,Rondônia,Maio,10
5105,2003,Rondônia,Maio,21
5106,2004,Rondônia,Maio,9
5107,2005,Rondônia,Maio,38
5108,2006,Rondônia,Maio,7
5109,2007,Rondônia,Maio,4
5110,2008,Rondônia,Maio,1
5111,2009,Rondônia,Maio,6
5112,2010,Rondônia,Maio,41
5113,2011,Rondônia,Maio,54
5114,2012,Rondônia,Maio,22
5115,2013,Rondônia,Maio,9
5116,2014,Rondônia,Maio,28
5117,2015,Rondônia,Maio,13
5118,2016,Rondônia,Maio,44
5119,2017,Rondônia,Maio,31
5120,1998,Rondônia,Junho,26
5121,1999,Rondônia,Junho,10
5122,2000,Rondônia,Junho,54
5123,2001,Rondônia,Junho,31
5124,2002,Rondônia,Junho,141
5125,2003,Rondônia,Junho,74
5126,2004,Rondônia,Junho,151
5127,2005,Rondônia,Junho,153
5128,2006,Rondônia,Junho,40
5129,2007,Rondônia,Junho,71
5130,2008,Rondônia,Junho,11
5131,2009,Rondônia,Junho,13
5132,2010,Rondônia,Junho,44
5133,2011,Rondônia,Junho,130
5134,2012,Rondônia,Junho,32
5135,2013,Rondônia,Junho,22
5136,2014,Rondônia,Junho,92
5137,2015,Rondônia,Junho,119
5138,2016,Rondônia,Junho,170
5139,2017,Rondônia,Junho,192
5140,1998,Rondônia,Julho,365
5141,1999,Rondônia,Julho,135
5142,2000,Rondônia,Julho,117
5143,2001,Rondônia,Julho,74
5144,2002,Rondônia,Julho,539
5145,2003,Rondônia,Julho,516
5146,2004,Rondônia,Julho,1.233
5147,2005,Rondônia,Julho,798
5148,2006,Rondônia,Julho,314
5149,2007,Rondônia,Julho,187
5150,2008,Rondônia,Julho,138
5151,2009,Rondônia,Julho,110
5152,2010,Rondônia,Julho,747
5153,2011,Rondônia,Julho,293
5154,2012,Rondônia,Julho,205
5155,2013,Rondônia,Julho,117
5156,2014,Rondônia,Julho,192
5157,2015,Rondônia,Julho,423
5158,2016,Rondônia,Julho,969
5159,2017,Rondônia,Julho,1.28
5160,1998,Rondônia,Agosto,2.254
5161,1999,Rondônia,Agosto,1.976
5162,2000,Rondônia,Agosto,2.197
5163,2001,Rondônia,Agosto,2.132
5164,2002,Rondônia,Agosto,3.465
5165,2003,Rondônia,Agosto,7.06
5166,2004,Rondônia,Agosto,6.893
5167,2005,Rondônia,Agosto,6.672
5168,2006,Rondônia,Agosto,3.124
5169,2007,Rondônia,Agosto,4.786
5170,2008,Rondônia,Agosto,1.251
5171,2009,Rondônia,Agosto,484
5172,2010,Rondônia,Agosto,4.388
5173,2011,Rondônia,Agosto,1.161
5174,2012,Rondônia,Agosto,2.209
5175,2013,Rondônia,Agosto,885
5176,2014,Rondônia,Agosto,3.038
5177,2015,Rondônia,Agosto,3.762
5178,2016,Rondônia,Agosto,3.675
5179,2017,Rondônia,Agosto,4.287
5180,1998,Rondônia,Setembro,3.753
5181,1999,Rondônia,Setembro,3.062
5182,2000,Rondônia,Setembro,2.438
5183,2001,Rondônia,Setembro,1.927
5184,2002,Rondônia,Setembro,7.067
5185,2003,Rondônia,Setembro,6.89
5186,2004,Rondônia,Setembro,13.05
5187,2005,Rondônia,Setembro,13.972
5188,2006,Rondônia,Setembro,9.92
5189,2007,Rondônia,Setembro,6.832
5190,2008,Rondônia,Setembro,3.726
5191,2009,Rondônia,Setembro,1.869
5192,2010,Rondônia,Setembro,4.893
5193,2011,Rondônia,Setembro,1.782
5194,2012,Rondônia,Setembro,2.471
5195,2013,Rondônia,Setembro,1.776
5196,2014,Rondônia,Setembro,2.8
5197,2015,Rondônia,Setembro,6.129
5198,2016,Rondônia,Setembro,4.208
5199,2017,Rondônia,Setembro,5.638
5200,1998,Rondônia,Outubro,483
5201,1999,Rondônia,Outubro,1.884
5202,2000,Rondônia,Outubro,644
5203,2001,Rondônia,Outubro,796
5204,2002,Rondônia,Outubro,3.554
5205,2003,Rondônia,Outubro,4.962
5206,2004,Rondônia,Outubro,3.094
5207,2005,Rondônia,Outubro,2.559
5208,2006,Rondônia,Outubro,1.148
5209,2007,Rondônia,Outubro,2.023
5210,2008,Rondônia,Outubro,1.482
5211,2009,Rondônia,Outubro,1.444
5212,2010,Rondônia,Outubro,1.307
5213,2011,Rondônia,Outubro,822
5214,2012,Rondônia,Outubro,1.229
5215,2013,Rondônia,Outubro,555
5216,2014,Rondônia,Outubro,1.063
5217,2015,Rondônia,Outubro,2.598
5218,2016,Rondônia,Outubro,1.844
5219,2017,Rondônia,Outubro,2.19
5220,1998,Rondônia,Novembro,3
5221,1999,Rondônia,Novembro,41
5222,2000,Rondônia,Novembro,13
5223,2001,Rondônia,Novembro,91
5224,2002,Rondônia,Novembro,639
5225,2003,Rondônia,Novembro,526
5226,2004,Rondônia,Novembro,452
5227,2005,Rondônia,Novembro,465
5228,2006,Rondônia,Novembro,253
5229,2007,Rondônia,Novembro,53
5230,2008,Rondônia,Novembro,78
5231,2009,Rondônia,Novembro,128
5232,2010,Rondônia,Novembro,238
5233,2011,Rondônia,Novembro,245
5234,2012,Rondônia,Novembro,174
5235,2013,Rondônia,Novembro,108
5236,2014,Rondônia,Novembro,202
5237,2015,Rondônia,Novembro,1.002
5238,2016,Rondônia,Novembro,401
5239,2017,Rondônia,Novembro,372
5240,1998,Rondônia,Dezembro,33
5241,1999,Rondônia,Dezembro,0
5242,2000,Rondônia,Dezembro,7
5243,2001,Rondônia,Dezembro,1
5244,2002,Rondônia,Dezembro,91
5245,2003,Rondônia,Dezembro,214
5246,2004,Rondônia,Dezembro,208
5247,2005,Rondônia,Dezembro,36
5248,2006,Rondônia,Dezembro,4
5249,2007,Rondônia,Dezembro,6
5250,2008,Rondônia,Dezembro,2
5251,2009,Rondônia,Dezembro,9
5252,2010,Rondônia,Dezembro,158
5253,2011,Rondônia,Dezembro,37
5254,2012,Rondônia,Dezembro,50
5255,2013,Rondônia,Dezembro,143
5256,2014,Rondônia,Dezembro,144
5257,2015,Rondônia,Dezembro,282
5258,2016,Rondônia,Dezembro,148
5259,1998,Roraima,Janeiro,0
5260,1999,Roraima,Janeiro,15
5261,2000,Roraima,Janeiro,18
5262,2001,Roraima,Janeiro,101
5263,2002,Roraima,Janeiro,302
5264,2003,Roraima,Janeiro,547
5265,2004,Roraima,Janeiro,355
5266,2005,Roraima,Janeiro,106
5267,2006,Roraima,Janeiro,70
5268,2007,Roraima,Janeiro,194
5269,2008,Roraima,Janeiro,245
5270,2009,Roraima,Janeiro,45
5271,2010,Roraima,Janeiro,351
5272,2011,Roraima,Janeiro,225
5273,2012,Roraima,Janeiro,217
5274,2013,Roraima,Janeiro,397
5275,2014,Roraima,Janeiro,355
5276,2015,Roraima,Janeiro,330
5277,2016,Roraima,Janeiro,1.754
5278,2017,Roraima,Janeiro,108
5279,1998,Roraima,Fevereiro,0
5280,1999,Roraima,Fevereiro,20
5281,2000,Roraima,Fevereiro,57
5282,2001,Roraima,Fevereiro,646
5283,2002,Roraima,Fevereiro,476
5284,2003,Roraima,Fevereiro,767
5285,2004,Roraima,Fevereiro,259
5286,2005,Roraima,Fevereiro,105
5287,2006,Roraima,Fevereiro,283
5288,2007,Roraima,Fevereiro,796
5289,2008,Roraima,Fevereiro,138
5290,2009,Roraima,Fevereiro,153
5291,2010,Roraima,Fevereiro,470
5292,2011,Roraima,Fevereiro,112
5293,2012,Roraima,Fevereiro,130
5294,2013,Roraima,Fevereiro,62
5295,2014,Roraima,Fevereiro,226
5296,2015,Roraima,Fevereiro,418
5297,2016,Roraima,Fevereiro,171
5298,2017,Roraima,Fevereiro,129
5299,1998,Roraima,Março,0
5300,1999,Roraima,Março,98
5301,2000,Roraima,Março,125
5302,2001,Roraima,Março,1.108
5303,2002,Roraima,Março,820
5304,2003,Roraima,Março,1.131
5305,2004,Roraima,Março,276
5306,2005,Roraima,Março,244
5307,2006,Roraima,Março,385
5308,2007,Roraima,Março,665
5309,2008,Roraima,Março,422
5310,2009,Roraima,Março,176
5311,2010,Roraima,Março,417
5312,2011,Roraima,Março,91
5313,2012,Roraima,Março,99
5314,2013,Roraima,Março,179
5315,2014,Roraima,Março,494
5316,2015,Roraima,Março,163
5317,2016,Roraima,Março,1.081
5318,2017,Roraima,Março,216
5319,1998,Roraima,Abril,0
5320,1999,Roraima,Abril,16
5321,2000,Roraima,Abril,0
5322,2001,Roraima,Abril,380
5323,2002,Roraima,Abril,41
5324,2003,Roraima,Abril,268
5325,2004,Roraima,Abril,182
5326,2005,Roraima,Abril,22
5327,2006,Roraima,Abril,201
5328,2007,Roraima,Abril,58
5329,2008,Roraima,Abril,175
5330,2009,Roraima,Abril,115
5331,2010,Roraima,Abril,15
5332,2011,Roraima,Abril,108
5333,2012,Roraima,Abril,25
5334,2013,Roraima,Abril,87
5335,2014,Roraima,Abril,162
5336,2015,Roraima,Abril,278
5337,2016,Roraima,Abril,126
5338,2017,Roraima,Abril,51
5339,1998,Roraima,Maio,0
5340,1999,Roraima,Maio,0
5341,2000,Roraima,Maio,7
5342,2001,Roraima,Maio,9
5343,2002,Roraima,Maio,0
5344,2003,Roraima,Maio,0
5345,2004,Roraima,Maio,2
5346,2005,Roraima,Maio,1
5347,2006,Roraima,Maio,0
5348,2007,Roraima,Maio,0
5349,2008,Roraima,Maio,8
5350,2009,Roraima,Maio,219
5351,2010,Roraima,Maio,3
5352,2011,Roraima,Maio,4
5353,2012,Roraima,Maio,18
5354,2013,Roraima,Maio,4
5355,2014,Roraima,Maio,58
5356,2015,Roraima,Maio,12
5357,2016,Roraima,Maio,22
5358,2017,Roraima,Maio,29
5359,1998,Roraima,Junho,0
5360,1999,Roraima,Junho,3
5361,2000,Roraima,Junho,0
5362,2001,Roraima,Junho,1
5363,2002,Roraima,Junho,0
5364,2003,Roraima,Junho,0
5365,2004,Roraima,Junho,6
5366,2005,Roraima,Junho,5
5367,2006,Roraima,Junho,0
5368,2007,Roraima,Junho,1
5369,2008,Roraima,Junho,0
5370,2009,Roraima,Junho,16
5371,2010,Roraima,Junho,0
5372,2011,Roraima,Junho,6
5373,2012,Roraima,Junho,22
5374,2013,Roraima,Junho,6
5375,2014,Roraima,Junho,4
5376,2015,Roraima,Junho,3
5377,2016,Roraima,Junho,7
5378,2017,Roraima,Junho,4
5379,1998,Roraima,Julho,1
5380,1999,Roraima,Julho,4
5381,2000,Roraima,Julho,0
5382,2001,Roraima,Julho,1
5383,2002,Roraima,Julho,7
5384,2003,Roraima,Julho,0
5385,2004,Roraima,Julho,2
5386,2005,Roraima,Julho,2
5387,2006,Roraima,Julho,0
5388,2007,Roraima,Julho,3
5389,2008,Roraima,Julho,0
5390,2009,Roraima,Julho,18
5391,2010,Roraima,Julho,1
5392,2011,Roraima,Julho,9
5393,2012,Roraima,Julho,2
5394,2013,Roraima,Julho,4
5395,2014,Roraima,Julho,9
5396,2015,Roraima,Julho,5
5397,2016,Roraima,Julho,0
5398,2017,Roraima,Julho,3
5399,1998,Roraima,Agosto,0
5400,1999,Roraima,Agosto,1
5401,2000,Roraima,Agosto,9
5402,2001,Roraima,Agosto,4
5403,2002,Roraima,Agosto,7
5404,2003,Roraima,Agosto,2
5405,2004,Roraima,Agosto,18
5406,2005,Roraima,Agosto,9
5407,2006,Roraima,Agosto,4
5408,2007,Roraima,Agosto,2
5409,2008,Roraima,Agosto,4
5410,2009,Roraima,Agosto,29
5411,2010,Roraima,Agosto,3
5412,2011,Roraima,Agosto,39
5413,2012,Roraima,Agosto,4
5414,2013,Roraima,Agosto,3
5415,2014,Roraima,Agosto,12
5416,2015,Roraima,Agosto,11
5417,2016,Roraima,Agosto,11
5418,2017,Roraima,Agosto,35
5419,1998,Roraima,Setembro,2
5420,1999,Roraima,Setembro,3
5421,2000,Roraima,Setembro,12
5422,2001,Roraima,Setembro,1
5423,2002,Roraima,Setembro,48
5424,2003,Roraima,Setembro,6
5425,2004,Roraima,Setembro,9
5426,2005,Roraima,Setembro,72
5427,2006,Roraima,Setembro,40
5428,2007,Roraima,Setembro,9
5429,2008,Roraima,Setembro,17
5430,2009,Roraima,Setembro,117
5431,2010,Roraima,Setembro,18
5432,2011,Roraima,Setembro,53
5433,2012,Roraima,Setembro,67
5434,2013,Roraima,Setembro,18
5435,2014,Roraima,Setembro,67
5436,2015,Roraima,Setembro,77
5437,2016,Roraima,Setembro,19
5438,2017,Roraima,Setembro,43
5439,1998,Roraima,Outubro,1
5440,1999,Roraima,Outubro,10
5441,2000,Roraima,Outubro,25
5442,2001,Roraima,Outubro,13
5443,2002,Roraima,Outubro,191
5444,2003,Roraima,Outubro,14
5445,2004,Roraima,Outubro,53
5446,2005,Roraima,Outubro,88
5447,2006,Roraima,Outubro,135
5448,2007,Roraima,Outubro,15
5449,2008,Roraima,Outubro,78
5450,2009,Roraima,Outubro,197
5451,2010,Roraima,Outubro,64
5452,2011,Roraima,Outubro,65
5453,2012,Roraima,Outubro,152
5454,2013,Roraima,Outubro,63
5455,2014,Roraima,Outubro,61
5456,2015,Roraima,Outubro,181
5457,2016,Roraima,Outubro,101
5458,2017,Roraima,Outubro,156
5459,1998,Roraima,Novembro,1
5460,1999,Roraima,Novembro,15
5461,2000,Roraima,Novembro,32
5462,2001,Roraima,Novembro,76
5463,2002,Roraima,Novembro,133
5464,2003,Roraima,Novembro,27
5465,2004,Roraima,Novembro,135
5466,2005,Roraima,Novembro,135
5467,2006,Roraima,Novembro,26
5468,2007,Roraima,Novembro,112
5469,2008,Roraima,Novembro,39
5470,2009,Roraima,Novembro,312
5471,2010,Roraima,Novembro,27
5472,2011,Roraima,Novembro,121
5473,2012,Roraima,Novembro,187
5474,2013,Roraima,Novembro,106
5475,2014,Roraima,Novembro,143
5476,2015,Roraima,Novembro,280
5477,2016,Roraima,Novembro,71
5478,2017,Roraima,Novembro,327
5479,1998,Roraima,Dezembro,16
5480,1999,Roraima,Dezembro,35
5481,2000,Roraima,Dezembro,77
5482,2001,Roraima,Dezembro,76
5483,2002,Roraima,Dezembro,199
5484,2003,Roraima,Dezembro,157
5485,2004,Roraima,Dezembro,160
5486,2005,Roraima,Dezembro,71
5487,2006,Roraima,Dezembro,101
5488,2007,Roraima,Dezembro,8
5489,2008,Roraima,Dezembro,5
5490,2009,Roraima,Dezembro,290
5491,2010,Roraima,Dezembro,73
5492,2011,Roraima,Dezembro,249
5493,2012,Roraima,Dezembro,78
5494,2013,Roraima,Dezembro,65
5495,2014,Roraima,Dezembro,277
5496,2015,Roraima,Dezembro,304
5497,2016,Roraima,Dezembro,136
5498,1998,Santa Catarina,Janeiro,0
5499,1999,Santa Catarina,Janeiro,11
5500,2000,Santa Catarina,Janeiro,14
5501,2001,Santa Catarina,Janeiro,11
5502,2002,Santa Catarina,Janeiro,22
5503,2003,Santa Catarina,Janeiro,45
5504,2004,Santa Catarina,Janeiro,37
5505,2005,Santa Catarina,Janeiro,46
5506,2006,Santa Catarina,Janeiro,41
5507,2007,Santa Catarina,Janeiro,9
5508,2008,Santa Catarina,Janeiro,25
5509,2009,Santa Catarina,Janeiro,21
5510,2010,Santa Catarina,Janeiro,2
5511,2011,Santa Catarina,Janeiro,9
5512,2012,Santa Catarina,Janeiro,14
5513,2013,Santa Catarina,Janeiro,18
5514,2014,Santa Catarina,Janeiro,58
5515,2015,Santa Catarina,Janeiro,28
5516,2016,Santa Catarina,Janeiro,53
5517,2017,Santa Catarina,Janeiro,46
5518,1998,Santa Catarina,Fevereiro,0
5519,1999,Santa Catarina,Fevereiro,2
5520,2000,Santa Catarina,Fevereiro,8
5521,2001,Santa Catarina,Fevereiro,0
5522,2002,Santa Catarina,Fevereiro,5
5523,2003,Santa Catarina,Fevereiro,43
5524,2004,Santa Catarina,Fevereiro,29
5525,2005,Santa Catarina,Fevereiro,46
5526,2006,Santa Catarina,Fevereiro,18
5527,2007,Santa Catarina,Fevereiro,14
5528,2008,Santa Catarina,Fevereiro,29
5529,2009,Santa Catarina,Fevereiro,7
5530,2010,Santa Catarina,Fevereiro,15
5531,2011,Santa Catarina,Fevereiro,1
5532,2012,Santa Catarina,Fevereiro,13
5533,2013,Santa Catarina,Fevereiro,12
5534,2014,Santa Catarina,Fevereiro,27
5535,2015,Santa Catarina,Fevereiro,23
5536,2016,Santa Catarina,Fevereiro,10
5537,2017,Santa Catarina,Fevereiro,31
5538,1998,Santa Catarina,Março,0
5539,1999,Santa Catarina,Março,7
5540,2000,Santa Catarina,Março,46
5541,2001,Santa Catarina,Março,1
5542,2002,Santa Catarina,Março,12
5543,2003,Santa Catarina,Março,58
5544,2004,Santa Catarina,Março,73
5545,2005,Santa Catarina,Março,92
5546,2006,Santa Catarina,Março,48
5547,2007,Santa Catarina,Março,23
5548,2008,Santa Catarina,Março,14
5549,2009,Santa Catarina,Março,33
5550,2010,Santa Catarina,Março,9
5551,2011,Santa Catarina,Março,8
5552,2012,Santa Catarina,Março,65
5553,2013,Santa Catarina,Março,14
5554,2014,Santa Catarina,Março,15
5555,2015,Santa Catarina,Março,37
5556,2016,Santa Catarina,Março,21
5557,2017,Santa Catarina,Março,12
5558,1998,Santa Catarina,Abril,0
5559,1999,Santa Catarina,Abril,0
5560,2000,Santa Catarina,Abril,7
5561,2001,Santa Catarina,Abril,1
5562,2002,Santa Catarina,Abril,7
5563,2003,Santa Catarina,Abril,120
5564,2004,Santa Catarina,Abril,59
5565,2005,Santa Catarina,Abril,25
5566,2006,Santa Catarina,Abril,30
5567,2007,Santa Catarina,Abril,2
5568,2008,Santa Catarina,Abril,31
5569,2009,Santa Catarina,Abril,57
5570,2010,Santa Catarina,Abril,19
5571,2011,Santa Catarina,Abril,5
5572,2012,Santa Catarina,Abril,40
5573,2013,Santa Catarina,Abril,46
5574,2014,Santa Catarina,Abril,34
5575,2015,Santa Catarina,Abril,32
5576,2016,Santa Catarina,Abril,36
5577,2017,Santa Catarina,Abril,26
5578,1998,Santa Catarina,Maio,0
5579,1999,Santa Catarina,Maio,1
5580,2000,Santa Catarina,Maio,0
5581,2001,Santa Catarina,Maio,2
5582,2002,Santa Catarina,Maio,3
5583,2003,Santa Catarina,Maio,84
5584,2004,Santa Catarina,Maio,2
5585,2005,Santa Catarina,Maio,21
5586,2006,Santa Catarina,Maio,33
5587,2007,Santa Catarina,Maio,2
5588,2008,Santa Catarina,Maio,15
5589,2009,Santa Catarina,Maio,33
5590,2010,Santa Catarina,Maio,1
5591,2011,Santa Catarina,Maio,16
5592,2012,Santa Catarina,Maio,60
5593,2013,Santa Catarina,Maio,52
5594,2014,Santa Catarina,Maio,42
5595,2015,Santa Catarina,Maio,70
5596,2016,Santa Catarina,Maio,26
5597,2017,Santa Catarina,Maio,36
5598,1998,Santa Catarina,Junho,2
5599,1999,Santa Catarina,Junho,0
5600,2000,Santa Catarina,Junho,2
5601,2001,Santa Catarina,Junho,1
5602,2002,Santa Catarina,Junho,0
5603,2003,Santa Catarina,Junho,68
5604,2004,Santa Catarina,Junho,127
5605,2005,Santa Catarina,Junho,58
5606,2006,Santa Catarina,Junho,32
5607,2007,Santa Catarina,Junho,11
5608,2008,Santa Catarina,Junho,2
5609,2009,Santa Catarina,Junho,14
5610,2010,Santa Catarina,Junho,1
5611,2011,Santa Catarina,Junho,26
5612,2012,Santa Catarina,Junho,42
5613,2013,Santa Catarina,Junho,31
5614,2014,Santa Catarina,Junho,3
5615,2015,Santa Catarina,Junho,104
5616,2016,Santa Catarina,Junho,79
5617,2017,Santa Catarina,Junho,70
5618,1998,Santa Catarina,Julho,0
5619,1999,Santa Catarina,Julho,2
5620,2000,Santa Catarina,Julho,21
5621,2001,Santa Catarina,Julho,5
5622,2002,Santa Catarina,Julho,82
5623,2003,Santa Catarina,Julho,43
5624,2004,Santa Catarina,Julho,94
5625,2005,Santa Catarina,Julho,90
5626,2006,Santa Catarina,Julho,74
5627,2007,Santa Catarina,Julho,12
5628,2008,Santa Catarina,Julho,46
5629,2009,Santa Catarina,Julho,26
5630,2010,Santa Catarina,Julho,31
5631,2011,Santa Catarina,Julho,31
5632,2012,Santa Catarina,Julho,42
5633,2013,Santa Catarina,Julho,69
5634,2014,Santa Catarina,Julho,82
5635,2015,Santa Catarina,Julho,45
5636,2016,Santa Catarina,Julho,480
5637,2017,Santa Catarina,Julho,591
5638,1998,Santa Catarina,Agosto,0
5639,1999,Santa Catarina,Agosto,51
5640,2000,Santa Catarina,Agosto,69
5641,2001,Santa Catarina,Agosto,24
5642,2002,Santa Catarina,Agosto,702
5643,2003,Santa Catarina,Agosto,1.513
5644,2004,Santa Catarina,Agosto,728
5645,2005,Santa Catarina,Agosto,391
5646,2006,Santa Catarina,Agosto,728
5647,2007,Santa Catarina,Agosto,462
5648,2008,Santa Catarina,Agosto,51
5649,2009,Santa Catarina,Agosto,759
5650,2010,Santa Catarina,Agosto,511
5651,2011,Santa Catarina,Agosto,175
5652,2012,Santa Catarina,Agosto,398
5653,2013,Santa Catarina,Agosto,236
5654,2014,Santa Catarina,Agosto,459
5655,2015,Santa Catarina,Agosto,379
5656,2016,Santa Catarina,Agosto,765
5657,2017,Santa Catarina,Agosto,713
5658,1998,Santa Catarina,Setembro,6
5659,1999,Santa Catarina,Setembro,101
5660,2000,Santa Catarina,Setembro,36
5661,2001,Santa Catarina,Setembro,18
5662,2002,Santa Catarina,Setembro,416
5663,2003,Santa Catarina,Setembro,1.339
5664,2004,Santa Catarina,Setembro,755
5665,2005,Santa Catarina,Setembro,116
5666,2006,Santa Catarina,Setembro,530
5667,2007,Santa Catarina,Setembro,617
5668,2008,Santa Catarina,Setembro,233
5669,2009,Santa Catarina,Setembro,47
5670,2010,Santa Catarina,Setembro,198
5671,2011,Santa Catarina,Setembro,450
5672,2012,Santa Catarina,Setembro,188
5673,2013,Santa Catarina,Setembro,303
5674,2014,Santa Catarina,Setembro,208
5675,2015,Santa Catarina,Setembro,156
5676,2016,Santa Catarina,Setembro,644
5677,2017,Santa Catarina,Setembro,626
5678,1998,Santa Catarina,Outubro,4
5679,1999,Santa Catarina,Outubro,16
5680,2000,Santa Catarina,Outubro,55
5681,2001,Santa Catarina,Outubro,26
5682,2002,Santa Catarina,Outubro,42
5683,2003,Santa Catarina,Outubro,669
5684,2004,Santa Catarina,Outubro,704
5685,2005,Santa Catarina,Outubro,197
5686,2006,Santa Catarina,Outubro,269
5687,2007,Santa Catarina,Outubro,35
5688,2008,Santa Catarina,Outubro,56
5689,2009,Santa Catarina,Outubro,252
5690,2010,Santa Catarina,Outubro,76
5691,2011,Santa Catarina,Outubro,102
5692,2012,Santa Catarina,Outubro,34
5693,2013,Santa Catarina,Outubro,107
5694,2014,Santa Catarina,Outubro,122
5695,2015,Santa Catarina,Outubro,21
5696,2016,Santa Catarina,Outubro,56
5697,2017,Santa Catarina,Outubro,51
5698,1998,Santa Catarina,Novembro,21
5699,1999,Santa Catarina,Novembro,84
5700,2000,Santa Catarina,Novembro,19
5701,2001,Santa Catarina,Novembro,66
5702,2002,Santa Catarina,Novembro,348
5703,2003,Santa Catarina,Novembro,347
5704,2004,Santa Catarina,Novembro,279
